señal,lag_optimo_dias,pearson_r,p_valor,interpretacion
precio_eth,30,0.3105,0.0,'precio_eth' anticipa el BDI 30 días antes
volumen_eth,3,0.1212,0.0,'volumen_eth' anticipa el BDI 3 días antes
