fecha,precio_eth,volumen_eth,eth_ballena_total,txs_ballena,bdi
2022-03-31,3281.51,455091.2395,0.0,0.0,2358.0
2022-04-01,3455.21,532169.2392,0.0,0.0,2357.0
2022-04-02,3443.77,499893.29,0.0,0.0,2357.0
2022-04-03,3521.91,381581.7683,0.0,0.0,2357.0
2022-04-04,3519.5,449984.1586,0.0,0.0,2307.0
2022-04-05,3406.99,397782.7437,0.0,0.0,2213.0
2022-04-06,3168.51,736273.1047,0.0,0.0,2128.0
2022-04-07,3227.19,458179.3272,0.0,0.0,2061.0
2022-04-08,3192.39,502422.5048,0.0,0.0,2055.0
2022-04-09,3258.57,212444.2566,0.0,0.0,2055.0
2022-04-10,3203.04,232303.2326,0.0,0.0,2055.0
2022-04-11,2979.74,693394.2912,0.0,0.0,2031.0
2022-04-12,3027.66,579522.9505,0.0,0.0,2035.0
2022-04-13,3118.28,419101.494,0.0,0.0,2068.0
2022-04-14,3021.98,408382.5572,0.0,0.0,2137.0
2022-04-15,3040.56,249626.2981,0.0,0.0,2137.0
2022-04-16,3059.3,176352.4165,0.0,0.0,2137.0
2022-04-17,2988.06,243772.074,0.0,0.0,2137.0
2022-04-18,3055.56,510251.6536,0.0,0.0,2137.0
2022-04-19,3101.77,359375.0038,0.0,0.0,2115.0
2022-04-20,3076.04,415000.0685,0.0,0.0,2142.0
2022-04-21,2983.58,562699.697,0.0,0.0,2239.0
2022-04-22,2962.39,452433.082,0.0,0.0,2307.0
2022-04-23,2933.03,187576.7324,0.0,0.0,2307.0
2022-04-24,2921.0,218957.0222,0.0,0.0,2307.0
2022-04-25,3006.62,619198.3616,0.0,0.0,2356.0
2022-04-26,2809.67,531184.3504,0.0,0.0,2404.0
2022-04-27,2888.96,488951.2416,0.0,0.0,2425.0
2022-04-28,2936.93,537392.9978,0.0,0.0,2403.0
2022-04-29,2817.13,525978.147,0.0,0.0,2404.0
2022-04-30,2726.66,367757.2469,0.0,0.0,2404.0
2022-05-01,2824.81,442544.8792,0.0,0.0,2404.0
2022-05-02,2856.54,521706.8567,0.0,0.0,2404.0
2022-05-03,2781.7,371331.1796,0.0,0.0,2412.0
2022-05-04,2940.64,548738.0668,0.0,0.0,2485.0
2022-05-05,2747.97,734845.3194,0.0,0.0,2644.0
2022-05-06,2692.85,711449.3234,0.0,0.0,2718.0
2022-05-07,2635.34,371271.4532,0.0,0.0,2718.0
2022-05-08,2519.71,757615.3415,0.0,0.0,2718.0
2022-05-09,2228.55,1574924.9793,0.0,0.0,2831.0
2022-05-10,2342.05,1550626.1387,0.0,0.0,2939.0
2022-05-11,2084.99,2022864.83806,0.0,0.0,3052.0
2022-05-12,1960.22,2305192.90836,0.0,0.0,3117.0
2022-05-13,2009.69,1134042.3387,0.0,0.0,3104.0
2022-05-14,2056.48,563788.3078,0.0,0.0,3104.0
2022-05-15,2145.29,514398.2587,0.0,0.0,3104.0
2022-05-16,2023.66,822070.8531,0.0,0.0,3085.0
2022-05-17,2090.72,568249.0448,0.0,0.0,3095.0
2022-05-18,1915.11,631577.2341,0.0,0.0,3189.0
2022-05-19,2019.55,741476.9794,0.0,0.0,3289.0
2022-05-20,1959.08,576981.5371,0.0,0.0,3344.0
2022-05-21,1975.07,238869.7632,0.0,0.0,3344.0
2022-05-22,2043.19,355735.1927,0.0,0.0,3344.0
2022-05-23,1973.32,636085.0224,0.0,0.0,3369.0
2022-05-24,1979.41,534096.972,0.0,0.0,3253.0
2022-05-25,1942.63,524786.3091,0.0,0.0,3127.0
2022-05-26,1792.23,1168740.57514,0.0,0.0,2933.0
2022-05-27,1727.27,1296693.28537,0.0,0.0,2681.0
2022-05-28,1792.22,558271.1818,0.0,0.0,2681.0
2022-05-29,1813.64,432430.611,0.0,0.0,2681.0
2022-05-30,1998.78,814922.8359,0.0,0.0,2571.0
2022-05-31,1941.9,751103.4226,0.0,0.0,2566.0
2022-06-01,1817.95,1037841.2706,0.0,0.0,2633.0
2022-06-02,1834.08,788784.4017,0.0,0.0,2633.0
